"item","customer","week_end_date","units","sales","inventory_units","inventory_value"
"19150","BBY",2012-12-22,503,11060.97,795,17482.05
"19150","BBY",2012-12-29,362,7960.38,1169,25706.31
"19150","BBY",2013-01-05,99,2177.01,261,5739.39
"19150","BBY",2013-01-12,73,1605.27,286,6289.14
"19150","BBY",2013-01-19,52,1143.48,227,4991.73
"19150","BBY",2013-01-26,66,1451.34,245,5387.55
"19150","BBY",2013-02-02,63,1385.37,242,5321.58
"19150","BBY",2013-02-09,88,1935.12,266,5849.34
"19150","BBY",2013-02-16,99,2177.01,456,10027.44
"19150","BBY",2013-02-23,102,2242.98,209,4595.91
"19150","BBY",2013-03-02,83,1825.17,238,5233.62
"19150","BBY",2013-03-09,88,1935.12,321,7058.79
"19150","BBY",2013-03-16,90,1979.1,353,7762.47
"19150","BBY",2013-03-23,83,1825.17,204,4485.96
"19150","BBY",2013-03-30,74,1627.26,154,3386.46
"19150","BBY",2013-04-06,65,1429.35,195,4288.05
"19150","BBY",2013-04-13,73,1605.27,311,6838.89
"19150","BBY",2013-04-20,63,1385.37,241,5299.59
"19150","BBY",2013-04-27,67,1473.33,315,6926.85
"19150","BBY",2013-05-04,57,1253.43,214,4705.86
"19150","BBY",2013-05-11,46,1011.54,130,2858.7
"19150","BBY",2013-05-18,73,1605.27,340,7476.6
"19150","BBY",2013-05-25,57,1253.43,101,2220.99
"19150","BBY",2013-06-01,74,1627.26,266,5849.34
"19150","BBY",2013-06-08,68,1495.32,192,4222.08
"19150","BBY",2013-06-15,49,1077.51,118,2594.82
"19150","BBY",2013-06-22,62,1363.38,103,2264.97
"19150","BBY",2013-06-29,47,1033.53,133,2924.67
"19150","BBY",2013-07-06,65,1429.35,244,5365.56
"19150","BBY",2013-07-13,47,1033.53,184,4046.16
"19150","BBY",2013-07-20,55,1209.45,175,3848.25
"19150","BBY",2013-07-27,42,923.58,138,3034.62
"19150","BBY",2013-08-03,53,1165.47,130,2858.7
"19150","BBY",2013-08-10,57,1253.43,192,4222.08
"19150","BBY",2013-08-17,61,1341.39,181,3980.19
"19150","BBY",2013-08-24,50,1099.5,122,2682.78
"19150","BBY",2013-08-31,79,1737.21,194,4266.06
"19150","BBY",2013-09-07,56,1231.44,223,4903.77
"19150","BBY",2013-09-14,79,1737.21,312,6860.88
"19150","BBY",2013-09-21,98,2155.02,276,6069.24
"19150","BBY",2013-09-28,86,1891.14,252,5541.48
"19150","BBY",2013-10-05,106,2330.94,228,5013.72
"19150","BBY",2013-10-12,93,2045.07,171,3760.29
"19150","BBY",2013-10-19,101,2220.99,221,4859.79
"19150","BBY",2013-10-26,87,1913.13,231,5079.69
"19150","BBY",2013-11-02,94,2067.06,141,3100.59
"19150","BBY",2013-11-09,96,2111.04,360,7916.4
"19150","BBY",2013-11-16,122,2682.78,358,7872.42
"19150","BBY",2013-11-23,126,2770.74,325,7146.75
"19150","BBY",2013-11-30,308,6772.92,622,13677.78
"19150","BBY",2013-12-07,213,4683.87,863,18977.37
"19150","BBY",2013-12-14,302,6640.98,1065,23419.35
"19150","BBY",2013-12-21,544,11962.56,2275,50027.25
"19150","BBY",2013-12-28,518,11390.82,1259,27685.41
"19150","KMT",2012-01-07,229,5864.69,644,16492.84
"19150","KMT",2012-01-14,109,3020.39,361,10003.31
"19150","KMT",2012-01-21,95,2440.55,429,11021.01
"19150","KMT",2012-01-28,115,2961.25,435,11201.25
"19150","KMT",2012-02-04,154,3853.08,627,15687.54
"19150","KMT",2012-02-11,175,4317.25,717,17688.39
"19150","KMT",2012-02-18,148,3710.36,450,11281.5
"19150","KMT",2012-02-25,174,4358.7,651,16307.55
"19150","KMT",2012-03-03,149,3756.29,401,10109.21
"19150","KMT",2012-03-10,123,3150.03,516,13214.76
"19150","KMT",2012-03-17,112,2803.36,511,12790.33
"19150","KMT",2012-03-24,119,2996.42,171,4305.78
"19150","KMT",2012-03-31,114,2769.06,647,15715.63
"19150","KMT",2012-04-07,144,3565.44,749,18545.24
"19150","KMT",2012-04-14,97,2487.08,251,6435.64
"19150","KMT",2012-04-21,125,3143.75,363,9129.45
"19150","KMT",2012-04-28,136,3376.88,482,11968.06
"19150","KMT",2012-05-05,124,3102.48,443,11083.86
"19150","KMT",2012-05-12,108,2702.16,237,5929.74
"19150","KMT",2012-05-19,105,2642.85,456,11477.52
"19150","KMT",2012-05-26,93,2314.77,315,7840.35
"19150","KMT",2012-06-02,122,3037.8,452,11254.8
"19150","KMT",2012-06-09,113,2829.52,344,8613.76
"19150","KMT",2012-06-16,123,3104.52,509,12847.16
"19150","KMT",2012-06-23,116,2874.48,268,6641.04
"19150","KMT",2012-06-30,122,3084.16,389,9833.92
"19150","KMT",2012-07-07,137,3360.61,394,9664.82
"19150","KMT",2012-07-14,127,3190.24,403,10123.36
"19150","KMT",2012-07-21,132,3267,575,14231.25
"19150","KMT",2012-07-28,148,3717.76,119,2989.28
"19150","KMT",2012-08-04,149,3662.42,433,10643.14
"19150","KMT",2012-08-11,141,3530.64,432,10817.28
"19150","KMT",2012-08-18,160,3982.4,277,6894.53
"19150","KMT",2012-08-25,123,3065.16,348,8672.16
"19150","KMT",2012-09-01,139,3481.95,587,14704.35
"19150","KMT",2012-09-08,183,4629.9,550,13915
"19150","KMT",2012-09-15,190,4812.7,722,18288.26
"19150","KMT",2012-09-22,254,6276.34,727,17964.17
"19150","KMT",2012-09-29,277,6972.09,1023,25748.91
"19150","KMT",2012-10-06,305,7615.85,977,24395.69
"19150","KMT",2012-10-13,316,7852.6,775,19258.75
"19150","KMT",2012-10-20,574,11462.78,3049,60888.53
"19150","KMT",2012-10-27,382,8556.8,963,21571.2
"19150","KMT",2012-11-03,703,13631.17,2298,44558.22
"19150","KMT",2012-11-10,618,13219.02,1572,33625.08
"19150","KMT",2012-11-17,591,12741.96,1200,25872
"19150","KMT",2012-11-24,1122,24010.8,212,4536.8
"19150","KMT",2012-12-01,780,17105.4,2397,52566.21
"19150","KMT",2012-12-08,1189,24612.3,1885,39019.5
"19150","KMT",2012-12-15,4004,57817.76,15076,217697.44
"19150","KMT",2012-12-22,2114,46212.04,4619,100971.34
"19150","KMT",2012-12-29,754,16746.34,1404,31182.84
"19150","KMT",2013-01-05,141,3489.75,347,8588.25
"19150","KMT",2013-01-12,109,2586.57,347,8234.31
"19150","KMT",2013-01-19,115,2570.25,465,10392.75
"19150","KMT",2013-01-26,94,2111.24,192,4312.32
"19150","KMT",2013-02-02,105,2245.95,476,10181.64
"19150","KMT",2013-02-09,104,2301.52,202,4470.26
"19150","KMT",2013-02-16,159,3501.18,412,9072.24
"19150","KMT",2013-02-23,143,3113.11,199,4332.23
"19150","KMT",2013-03-02,162,3575.34,327,7216.89
"19150","KMT",2013-03-09,220,3935.8,748,13381.72
"19150","KMT",2013-03-16,243,4327.83,797,14194.57
"19150","KMT",2013-03-23,165,2788.5,269,4546.1
"19150","KMT",2013-03-30,218,3729.98,1144,19573.84
"19150","KMT",2013-04-06,124,2556.88,373,7691.26
"19150","KMT",2013-04-13,70,1563.8,143,3194.62
"19150","KMT",2013-04-20,88,1947.44,185,4094.05
"19150","KMT",2013-04-27,56,1257.2,171,3838.95
"19150","KMT",2013-05-04,76,1691,342,7609.5
"19150","KMT",2013-05-11,62,1344.78,297,6441.93
"19150","KMT",2013-05-18,71,1530.05,116,2499.8
"19150","KMT",2013-05-25,57,1220.94,66,1413.72
"19150","KMT",2013-06-01,58,1132.74,121,2363.13
"19150","KMT",2013-06-08,66,1448.7,257,5641.15
